CKG_NM,CKG_MTRL_CN
Vietnamese Pho Soup,"닭육수, 우동, 닭가슴살, 액젓, 청경채, 타이 바질, 고수, 파, 아니스 씨, 고수 씨, 마늘 정향, 양파, 생강 뿌리"
Vietnamese Peanut Sauce,"크리미한 땅콩 버터, 라이트 코코넛 밀크, 호이신 소스, 라임 주스, 다진 땅콩, 황설탕, 칠리 페퍼 및 마늘 소스"
Vietnamese Chicken Meatballs,"다진 닭고기, 생선 소스, 양파, 마늘, 레몬그라스, 다진 고수, 민트, 옥수수 전분, 코셔 소금, 후추, 알갱이 설탕"
Quick Vietnamese Beef and Noodle Pho,"쇠고기 라운드, 계피 스틱, 정향, 회향 씨앗, 고수 씨앗, 통후추, 양파, 신선한 생강, 식물성 기름, 쇠고기 육수, 생선 소스, 소금, 간 후추, 쌀국수, 녹두 콩나물, 신선한 민트, 고수, 바질 , 할라피뇨 칠리, 프레즈노 칠리, 라임, 스리라차 핫소스"
Easy Vietnamese Spring Roll,"쌀국수, 샐러드 채소, 라이스페이퍼, 민트, 홍고추"
Vietnamese Restaurant-Style Grilled Lemongrass Pork (Thit Heo Nuong Xa),"돼지 목살 스테이크, 연갈색 설탕, 다진 마늘, 샬롯, 레몬그라스, 후추, 진간장, 액젓, 기름"
Vietnamese Lemongrass Chicken,"닭다리살, 액젓, 백설탕, 옥수수 가루, 레몬그라스 줄기, 식물성 기름, 마늘 정향, 신선한 홍고추, 양파"
Vietnamese Fresh Spring Rolls,"쌀국수, 쌀, 신선한 민트 잎, 다진 신선한 고수, 양상추, 당근 스틱, 간장, 파, 말린 표고버섯, 땅콩, 참깨"
Vietnamese Caramel Chicken,"닭 날개, 흑설탕, 액젓, 간 후추, 흑설탕, 물, 액젓, 쌀식초, 마늘 정향, 생강, 고추, 기름, 파"
Authentic Vietnamese Beef Pho (Pho Bo),"소고기, 소꼬리, 물, 노란 양파, 생생강, 스타아니스, 정향, 통후추, 마늘, 무, 계피 스틱, 쪽파, 쌀국수, 액젓, 소금, 쌀국수, 등심 스테이크, 노란 양파, 파, 스리라차 칠리 소스, 호이신 소스, 고수 잎, 라임, 녹두 콩나물, 타이 바질 잎, 들깨 잎, 고수 잎, 청고추"
Grilled Vietnamese Chicken,"마늘 정향, 샬롯, 신선한 생강, 코코넛 밀크, 쌀 식초, 아시아 생선 소스, 간장, 단단하게 포장된 흑설탕, 닭가슴살 반쪽, 소금, 옥수수 기름, 잉글리시 오이"
Vietnamese Eggrolls,"스프링롤 페이스트리 래퍼, 간 돼지고기, 살코기 간 칠면조, 채 썬 양배추, 채 썬 당근, 노란 양파, 콩, 설탕, 액젓, 후춧가루, 옥수수 전분, 마늘 가루, 계란"
Pho {Vietnamese Beef Noodle Soup},"고수 씨, 계피 스틱, 스타 아니스, 정향, 쇠고기 국물, 생강, 파, 액젓, 흑설탕, 할라피뇨 고추, 쌀국수, 옆구리 스테이크, 콩나물, 파, 신선한 바질, 신선한 고수, 라임 웨지, 스리라차, 호이신 소스"
Fresh and Easy Vietnamese Noodle Salad,"당면, 당근, 오이, 파, 콩나물, 다진 고수, 액젓, 양념초, 설탕, 마늘, 다진 고추, 라임"
Vietnamese Pho Recipe (Vietnamese Beef Noodle Soup),"양파, 생강, 소 정강이, 소 양지머리, 팔각, 정향, 계피 스틱, 회향 씨앗, 고수 씨앗, 소금, 액젓, 암설탕, 국수, 등심, 양파, 파, 고수풀, 간 후추, 스피어민트, 타이 바질 , 고수, 콩나물, 버드아이칠리, 라임, 피시소스, 라임, 호이신소스, 스리라차"
Vietnamese Spring Rolls,"새우, 마른 쌀국수, 라이스 페이퍼, 보스턴 양상추, 신선한 민트 잎, 신선한 고수, 파"
Vietnamese Pho,"고수씨, 정향, 팔각, 수제 닭육수, 닭가슴살, 양파, 생강, 설탕, 액젓, 말린 쌀국수, 콩나물, 신선한 고수, 적양파, 라임, 스리라차 칠리 소스, 호이신 소스, 칠리 페퍼, 건조 무화과, 물, 브랜디, 다크 초콜릿, 호두, 완탕 포장지, 물, 페이스트리, 기름"
Vietnamese Cucumber Salad,"오이, 할라피뇨, 파, 마늘 정향, 소금, 고수 잎, 민트 잎, 구운 땅콩, 기름, 라임 주스, 막걸리 양념 식초, 액젓, 설탕, 소금"
Vietnamese Pork Bowl,"돼지고기 목살, 마늘, 샬롯, 레몬그라스, 설탕, 액젓, 간장, 참기름, 쌀 당면, 피클, 녹색 잎상추, 타이 바질, 민트 가지, 실란트로 가지, 얇게 썬 파, 캐슈넛, 웨지 라임, 할라피뇨, 생선 소스"
Shrimp Pho - Vietnamese Noodle Soup,"쌀국수, 고수씨, 정향, 통후추, 참기름, 생강뿌리, 고춧가루, 저염닭육수, 레몬껍질, 간장, 액젓, 라임즙, 호이신소스, 계피, 청경채, 새우, 양파, 할라피뇨, 고수, 라임 웨지, 호이신 소스, 스리라차, 콩나물, 타이 바질"
Vietnamese Zoodle Pho,"단 양파, 신선한 생강 뿌리, 마늘 정향, 팔각, 정향, 애호박, 큰 당근, 저염 닭 육수, 고수 씨, 세라노 칠레, 피시 소스, 둥글게 익은 스테이크, 파, 콩나물, 타이 바질 잎, 신선한 민트 잎, 라임 웨지"
Vietnamese Caramelized Ground Pork,"유럽산 오이, 쌀식초, 소금, 설탕, 레몬그라스, 다진 돼지고기, 땅콩기름, 양파, 다진마늘, 설탕, 액젓, 간 후추, 민트, 바질, 고수, 땅콩, 스리라차, 라임, 밥"
Simple Vietnamese Pork Noodle Bowl,"돼지고기 안심, 쌀국수, 코울슬로 믹스, 적양파, 닭육수, 액젓, 간장, 카놀라유, 바질잎, 라임"
Sticky Vietnamese Air Fryer Pork Ribs,"베이비백 포크 립, 액젓, 설탕, 마늘, 마늘, 신선한 고수, 신선한 민트"
Vietnamese Shrimp and Vegetable Summer Rolls,"쌀 당면, 부드러운 땅콩 버터, 물, 간장, 스위트 칠리 소스, 쌀 식초, 큰 당근, 큰 오이, 라이스 페이퍼, 중간 새우, 민트 잎"
Pho Ga Vietnamese Chicken Noodle Soup,"노란 양파, 신선한 생강, 닭고기, 닭고기 부위, 육수, 닭, 물, 스타아니스, 카다멈 꼬투리, 정향, 고수 씨, 사이공 계피, 통 후추, 터비나도 설탕, 생선 소스, 바다 소금, 치즈, 쌀국수, 익힌 것 닭고기, 노란 양파, 샬롯, 파, 다진 신선한 고수, 콩나물, 민트, 타이 바질, 잎, 세라노 고추, 라임, Sriracha"
